CLUST,WEIGHT
1101001,1735
1101016,1386
1101028,1650
1101061,1995
1101089,1078
1102001,4357
1102027,3338
1102068,2987
1102101,4124
1103004,1905
1103029,2383
1103034,3404
1103068,1440
1103108,2074
1104005,2458
1104041,2239
1104062,2019
1104105,2168
1105001,1958
1105018,1536
1105034,1624
1105041,755
1105063,1484
1105080,1757
1105108,1137
1106006,2051
1106014,2401
1106073,2491
1106094,2432
1107001,1290
1107029,730
1107043,1196
1107050,923
1108005,2035
1108038,1687
1108054,1775
1108111,2223
1108114,2052
1131002,2719
1131014,1670
1131021,1621
1132002,3337
1132013,1646
1132073,3532
1132078,3076
1132118,3564
1132124,3399
1132182,4755
1132183,2723
1133027,1052
1133033,861
1141001,2491
1141024,2108
1142016,1837
1142038,2110
1142047,2082
1143001,281
1143010,381
1151003,96
1151010,57
1152025,1515
1152045,3742
1153011,95
1153019,201
1161004,634
1161010,692
1162007,2200
1162015,2649
1163011,129
1163020,90
1171001,710
1171008,747
1172005,2111
1172015,2499
1173011,208
1173018,222
1201001,848
1201004,1241
1202040,4703
1202052,5100
1203003,7121
1203034,6268
1204002,4016
1204016,3066
1205042,4122
1205053,4498
1206017,8705
1206024,7971
1207017,3398
1207030,2196
1208017,3346
1208019,3432
1209019,3360
1209024,3220
1210067,6329
1210087,6279
1210103,3728
1210115,6084
1211001,4442
1211026,5281
1212008,3811
1212043,3825
1212054,4407
1212087,4407
1213007,3565
1213034,3918
1213078,3920
1213080,3980
1214002,819
1214033,881
1214067,846
1214091,972
1215001,5559
1215020,6388
1215042,6126
1215107,4840
1216008,2488
1216016,7483
1217007,3901
1217036,4884
1217041,3774
1218030,11611
1218063,6725
1218108,6766
1219014,3987
1219035,4370
1219049,4797
1220004,3795
1220034,4775
1220043,4190
1221005,5733
1221064,7843
1221106,7105
1222019,5782
1222062,7512
1222082,5759
1223045,5765
1223067,6025
1224006,3645
1224016,4876
1225010,2855
1225035,2888
1226042,6948
1226059,6575
1227003,3311
1227013,3422
1228008,7177
1228035,6402
1229002,3345
1229032,4115
1229067,4852
1230021,5199
1230044,6101
1230055,5198
2101029,2142
2101031,2283
2101048,2150
2102001,2465
2102036,2532
2103004,2022
2103005,1756
2103044,2646
2103050,1768
2103061,1641
2181001,3019
2181004,2426
2181021,2612
2181063,2648
2181084,2951
2181122,2956
2181127,2520
2181134,2934
2181193,2928
2181196,1548
2182014,2932
2182018,2378
2182041,3276
2182072,2707
2182077,2328
2182087,2972
2182137,2572
2182144,2520
2182151,1941
2182204,1297
2182219,2742
2182238,2679
2183005,1052
2183038,1015
2183060,1005
2191005,268
2191006,370
2192001,2686
2192015,2332
2193015,175
2193017,188
2201008,3189
2201013,2665
2202014,1398
2202030,2200
2202046,3728
2203015,3668
2203038,4068
2203043,2594
2203054,1984
2204005,2869
2204020,3016
2204038,1157
2205003,1660
2205029,3143
2206008,2775
2206022,2630
2206038,2532
2207003,2268
2207027,2917
2207042,2248
2208001,2701
2208009,2416
2208029,3137
2208044,1503
2208075,3220
2209019,1427
2209032,1388
2209040,1760
2210005,2540
2210016,2649
2210033,1987
2211005,1118
2211017,3445
2211025,1274
2211036,3377
2211055,1662
2211068,2537
2212010,2619
2212016,2678
2212029,2129
2213015,1718
2214009,2107
3101001,564
3101017,434
3102001,1067
3102011,920
3102022,1096
3102028,1086
3102036,1044
3103001,538
3103030,459
3104017,700
3104022,1083
3105015,556
3105034,653
3105053,725
3121001,389
3121010,313
3122008,1311
3122012,1212
3122019,1367
3123011,135
3123020,253
3201001,3755
3201032,4273
3201060,2908
3202002,3579
3202061,4469
3203002,6888
3203041,7653
3204067,7867
3204091,6220
3205001,1582
3205011,1625
3206014,1161
3206023,772
3207001,2552
3207017,2735
3208017,2743
3208024,2916
3209002,4834
3209048,5958
3210050,4142
3210082,413
4101001,285
4101044,225
4102003,295
4102015,406
4103016,449
4103027,363
4104019,592
4104032,397
4111006,83
4111010,88
4112024,330
4112039,585
4201013,993
4201054,2018
4201074,794
4202039,3570
4202045,2871
4203003,3390
4203015,5930
4204009,2157
4204033,1859


